iter	Passed	Remaining
0	56	55947
1	56	28092
2	56	18803
3	56	14163
4	57	11384
5	57	9526
6	57	8199
7	58	7203
8	58	6434
9	58	5817
10	59	5306
11	59	4886
12	59	4526
13	59	4219
14	60	3951
15	60	3721
16	60	3518
17	61	3334
18	61	3170
19	61	3020
20	61	2884
21	62	2760
22	62	2649
23	62	2548
24	62	2454
25	63	2367
26	63	2287
27	63	2212
28	64	2143
29	64	2079
30	64	2018
31	64	1961
32	65	1908
33	65	1859
34	65	1810
35	65	1765
36	66	1721
37	66	1680
38	66	1642
39	66	1605
40	67	1570
41	67	1537
42	67	1506
43	67	1476
44	68	1448
45	68	1420
46	68	1395
47	69	1370
48	69	1346
49	69	1323
50	69	1301
51	70	1279
52	70	1258
53	70	1237
54	70	1218
55	71	1200
56	71	1182
57	71	1166
58	72	1149
59	72	1132
60	72	1116
61	72	1101
62	73	1087
63	73	1073
64	73	1059
65	73	1045
66	74	1033
67	74	1018
68	74	1005
69	74	993
70	75	982
71	75	970
72	75	959
73	75	949
74	76	940
75	76	932
76	77	923
77	77	913
78	77	904
79	77	894
80	78	885
81	78	876
82	78	868
83	78	859
84	78	849
85	79	841
86	79	832
87	79	825
88	79	818
89	80	810
90	80	803
91	80	796
92	80	789
93	81	782
94	81	776
95	81	769
96	81	763
97	82	757
98	82	751
99	82	745
100	83	739
101	83	731
102	83	725
103	83	720
104	83	715
105	84	709
106	84	703
107	84	698
108	84	693
109	85	688
110	85	683
111	85	678
112	85	673
113	86	668
114	86	664
115	86	659
116	86	654
117	87	650
118	87	645
119	87	641
120	87	637
121	87	633
122	88	627
123	88	623
124	88	619
125	88	616
126	89	612
127	89	607
128	89	603
129	89	600
130	89	596
131	90	593
132	90	589
133	90	586
134	91	583
135	91	579
136	91	576
137	91	573
138	91	569
139	92	566
140	92	563
141	92	559
142	92	556
143	93	553
144	93	550
145	93	547
146	93	544
147	94	542
148	94	540
149	94	537
150	95	535
151	95	533
152	95	530
153	96	527
154	96	525
155	96	522
156	96	519
157	96	516
158	97	514
159	97	511
160	97	508
161	97	506
162	98	504
163	98	501
164	98	499
165	98	496
166	99	494
167	99	492
168	99	491
169	100	489
170	100	487
171	100	485
172	101	483
173	101	481
174	101	479
175	101	477
176	102	475
177	102	473
178	102	470
179	102	469
180	103	466
181	103	464
182	103	462
183	103	460
184	104	458
185	104	456
186	104	454
187	104	452
188	105	451
189	105	449
190	105	447
191	105	445
192	106	443
193	106	441
194	106	439
195	106	438
196	107	436
197	107	434
198	107	433
199	107	431
200	108	429
201	108	428
202	108	426
203	108	424
204	109	423
205	109	421
206	109	420
207	109	418
208	110	416
209	110	415
210	110	413
211	110	412
212	111	410
213	111	409
214	111	407
215	111	406
216	112	404
217	112	403
218	112	401
219	112	400
220	113	398
221	113	397
222	113	396
223	113	394
224	114	393
225	114	392
226	114	390
227	115	389
228	115	388
229	115	386
230	115	385
231	116	384
232	116	383
233	116	381
234	116	380
235	117	379
236	117	378
237	117	376
238	117	375
239	118	374
240	118	373
241	118	372
242	119	370
243	119	369
244	119	368
245	119	367
246	119	365
247	120	364
248	120	363
249	120	362
250	121	361
251	121	359
252	121	358
253	121	357
254	122	356
255	122	355
256	122	354
257	122	353
258	123	352
259	123	351
260	123	349
261	123	348
262	124	347
263	124	346
264	124	345
265	124	344
266	125	343
267	125	342
268	125	341
269	125	340
270	126	339
271	126	338
272	126	337
273	126	336
274	127	335
275	127	334
276	127	333
277	127	332
278	128	331
279	128	330
280	128	329
281	128	328
282	129	327
283	129	326
284	129	325
285	130	325
286	130	324
287	130	323
288	131	322
289	131	321
290	131	321
291	132	320
292	132	319
293	132	318
294	132	317
295	133	316
296	133	316
297	133	315
298	134	314
299	134	313
300	134	312
301	134	311
302	135	310
303	135	309
304	135	308
305	135	307
306	136	307
307	136	306
308	136	305
309	136	304
310	137	303
311	137	302
312	137	301
313	137	300
314	138	300
315	138	299
316	138	298
317	138	297
318	139	296
319	139	295
320	139	295
321	139	294
322	139	293
323	140	292
324	140	291
325	140	290
326	140	290
327	141	289
328	141	288
329	141	287
330	141	286
331	142	286
332	142	285
333	142	284
334	142	283
335	143	282
336	143	282
337	143	281
338	143	280
339	144	279
340	144	279
341	144	278
342	144	277
343	145	276
344	145	276
345	145	275
346	145	274
347	146	274
348	146	273
349	146	272
350	147	272
351	147	271
352	147	270
353	148	270
354	148	269
355	148	269
356	148	268
357	149	267
358	149	267
359	149	266
360	150	265
361	150	264
362	150	264
363	150	263
364	151	263
365	151	262
366	151	261
367	151	260
368	152	260
369	152	259
370	152	258
371	152	258
372	153	257
373	153	256
374	153	256
375	153	255
376	154	254
377	154	254
378	154	253
379	154	252
380	155	252
381	155	251
382	155	250
383	155	250
384	156	249
385	156	248
386	156	248
387	156	247
388	157	246
389	157	246
390	157	245
391	157	245
392	158	244
393	158	244
394	159	243
395	159	243
396	159	242
397	159	241
398	160	241
399	160	240
400	160	240
401	161	239
402	161	238
403	161	238
404	161	237
405	162	237
406	162	236
407	162	235
408	162	235
409	163	234
