iter	Passed	Remaining
0	57	57221
1	57	28709
2	57	19197
3	57	14438
4	58	11594
5	58	9693
6	58	8334
7	58	7311
8	59	6517
9	59	5891
10	59	5384
11	60	4961
12	60	4596
13	60	4279
14	61	4012
15	61	3773
16	61	3564
17	61	3377
18	62	3209
19	62	3063
20	62	2925
21	63	2806
22	63	2692
23	63	2587
24	63	2490
25	64	2404
26	64	2321
27	64	2244
28	65	2178
29	65	2115
30	65	2056
31	66	1998
32	66	1941
33	66	1889
34	66	1839
35	66	1793
36	67	1748
37	67	1706
38	67	1666
39	67	1628
40	68	1592
41	68	1558
42	68	1525
43	68	1493
44	68	1463
45	69	1434
46	69	1408
47	69	1382
48	69	1357
49	70	1332
50	70	1309
51	70	1286
52	70	1264
53	70	1243
54	71	1224
55	71	1204
56	71	1186
57	71	1167
58	72	1150
59	72	1133
60	72	1116
61	72	1101
62	73	1085
63	73	1070
64	73	1056
65	73	1042
66	73	1028
67	74	1015
68	74	1002
69	74	990
70	74	978
71	74	966
72	75	954
73	75	943
74	75	933
75	75	922
76	76	913
77	76	903
78	76	893
79	76	884
80	77	876
81	77	867
82	77	856
83	77	848
84	78	839
85	78	832
86	78	823
87	78	815
88	78	808
89	79	801
90	79	793
91	79	786
92	79	779
93	80	773
94	80	766
95	80	759
96	80	753
97	81	746
98	81	740
99	81	735
100	81	729
101	82	723
102	82	718
103	82	712
104	82	707
105	83	701
106	83	696
107	83	690
108	83	686
109	84	681
110	84	676
111	84	671
112	84	666
113	85	661
114	85	656
115	85	651
116	85	646
117	85	642
118	86	638
119	86	634
120	86	629
121	86	625
122	87	621
123	87	617
124	87	614
125	87	610
126	88	605
127	88	602
128	88	598
129	88	595
130	89	591
131	89	588
132	89	585
133	90	581
134	90	578
135	90	575
136	90	572
137	91	568
138	91	565
139	91	562
140	91	559
141	91	555
142	92	552
143	92	549
144	92	546
145	92	543
146	93	540
147	93	537
148	93	534
149	93	532
150	94	529
151	94	527
152	94	524
153	94	521
154	95	518
155	95	515
156	95	512
157	95	510
158	95	507
159	96	504
160	96	501
161	96	499
162	96	496
163	96	494
164	97	491
165	97	489
166	97	486
167	97	484
168	98	482
169	98	479
170	98	477
171	98	475
172	98	472
173	99	470
174	99	468
175	99	466
176	99	464
177	100	462
178	100	459
179	100	457
180	100	455
181	100	453
182	101	451
183	101	449
184	101	447
185	101	445
186	102	443
187	102	441
188	102	439
189	102	437
190	102	436
191	103	434
192	103	432
193	103	430
194	103	428
195	104	426
196	104	425
197	104	423
198	104	421
199	104	419
200	105	418
201	105	416
202	105	414
203	105	412
204	106	411
205	106	409
206	106	407
207	106	406
208	106	404
209	107	402
210	107	401
211	107	400
212	107	398
213	108	397
214	108	396
215	108	394
216	108	393
217	109	391
218	109	389
219	109	388
220	109	386
221	109	385
222	110	383
223	110	382
224	110	381
225	110	379
226	111	378
227	111	376
228	111	375
229	111	374
230	111	372
231	112	371
232	112	369
233	112	368
234	112	367
235	113	365
236	113	364
237	113	363
238	113	361
239	113	360
240	114	359
241	114	358
242	114	356
243	114	355
244	114	354
245	115	353
246	115	351
247	115	350
248	115	349
249	116	348
250	116	347
251	116	345
252	116	344
253	116	343
254	117	342
255	117	341
256	117	340
257	117	339
258	118	338
259	118	337
260	118	336
261	118	335
262	119	334
263	119	332
264	119	331
265	119	330
266	120	329
267	120	328
268	120	327
269	120	326
270	120	325
271	121	324
272	121	323
273	121	322
274	121	321
275	122	320
276	122	319
277	122	318
278	122	317
279	122	316
280	123	315
281	123	314
282	123	313
283	123	312
284	124	311
285	124	310
286	124	309
287	124	308
288	125	307
289	125	306
290	125	305
291	125	304
292	125	303
293	126	303
294	126	302
295	126	301
296	126	300
297	127	299
298	127	298
299	127	297
300	127	296
301	128	296
302	128	295
303	128	294
304	128	293
305	128	292
306	129	291
307	129	290
308	129	289
309	129	289
310	130	288
311	130	287
312	130	286
313	130	285
314	131	284
315	131	284
316	131	283
317	131	282
318	131	281
319	132	280
320	132	280
321	132	279
322	132	278
323	133	278
324	133	277
325	133	276
326	133	275
327	134	274
328	134	274
329	134	273
330	134	272
331	135	271
332	135	271
333	135	270
334	135	269
335	136	269
336	136	268
337	136	267
338	136	267
339	137	266
340	137	265
341	137	265
342	137	264
343	138	264
344	138	263
345	139	263
346	139	262
347	139	262
348	140	261
349	140	261
350	140	260
351	141	259
352	141	259
353	141	258
354	141	257
355	142	257
356	142	257
357	143	256
358	143	256
359	143	255
360	144	255
361	144	254
362	145	254
363	145	253
364	145	253
365	145	252
366	146	252
367	146	251
368	146	251
369	147	250
370	147	250
371	148	250
372	148	249
373	148	249
374	149	249
375	149	248
376	150	247
377	150	247
378	150	246
379	150	246
380	151	245
381	151	244
382	151	244
383	151	243
384	152	243
385	152	242
386	152	241
387	152	241
388	153	240
389	153	239
390	153	239
391	153	238
392	154	237
393	154	237
394	154	236
395	154	236
396	155	235
397	155	235
398	155	234
399	155	233
400	156	233
401	156	233
402	157	232
403	157	232
404	157	231
405	158	231
406	158	230
407	158	230
408	159	230
409	159	229
410	160	229
411	160	229
412	160	228
413	161	228
414	161	227
415	161	227
416	162	226
417	162	226
418	162	225
419	163	225
420	163	224
421	163	224
422	163	223
423	164	222
424	164	222
425	164	221
426	164	221
427	165	220
428	165	219
429	165	219
430	165	218
431	166	218
432	166	217
433	166	217
434	166	216
435	167	216
436	167	215
437	167	215
438	167	214
439	168	213
440	168	213
441	168	212
442	169	212
443	169	212
444	169	211
445	169	210
446	170	210
447	170	209
448	170	209
449	171	209
450	171	208
451	171	208
452	172	207
453	172	207
454	172	207
455	173	206
456	173	206
457	174	205
458	174	205
459	174	205
460	175	204
461	175	204
462	175	203
463	175	203
464	176	202
465	176	202
466	176	201
467	177	201
468	177	200
469	177	200
470	177	199
471	178	199
472	178	198
473	178	198
474	178	197
475	178	197
476	179	196
477	179	196
478	179	195
479	179	194
480	180	194
481	180	193
482	180	193
483	180	192
484	181	192
485	181	191
486	181	191
487	181	190
488	182	190
489	182	189
490	182	189
491	182	188
492	183	188
493	183	187
494	183	187
495	183	186
496	184	186
497	184	185
498	184	185
